CommitTime,Time,Occupancy_main,Occupancy_southEast,Occupancy_north,Occupancy_south,Occupancy_angdomen,Occupancy_newton
2024-12-30 18:32:55,07:30,0,0,0,0,0,0
2024-12-30 18:32:55,08:00,0,0,0,0,0,0
2024-12-30 18:32:55,08:30,0,0,0,0,0,0
2024-12-30 18:32:55,09:00,0,0,0,0,0,0
2024-12-30 18:32:55,09:30,0,0,0,0,0,0
2024-12-30 18:32:55,10:00,0,0,0,0,0,0
2024-12-30 18:32:55,10:30,0,0,0,0,0,0
2024-12-30 18:32:55,11:00,6,8,6,10,0,7
2024-12-30 18:32:55,11:30,12,14,12,15,1,12
2024-12-30 18:32:55,12:00,16,19,18,13,1,38
2024-12-30 18:32:55,12:30,18,17,20,12,3,49
2024-12-30 18:32:55,13:00,20,22,18,16,3,43
2024-12-30 18:32:55,13:30,19,34,20,17,3,50
2024-12-30 18:32:55,14:00,18,34,16,13,2,44
2024-12-30 18:32:55,14:30,14,37,14,20,1,43
2024-12-30 18:32:55,15:00,0,0,0,0,0,0
2024-12-30 18:32:55,15:30,0,0,0,0,0,0
2024-12-30 18:32:55,16:00,0,0,0,0,0,0
2024-12-30 18:32:55,16:30,0,0,0,0,0,0
2024-12-30 18:32:55,17:00,0,0,0,0,0,0
2024-12-30 18:32:55,17:30,0,0,0,0,0,0
2024-12-30 18:32:55,18:00,0,0,0,0,0,0
2024-12-30 18:32:55,18:30,0,0,0,0,0,0
2024-12-30 18:32:55,19:00,0,0,0,0,0,0
2024-12-30 18:32:55,19:30,0,0,0,0,0,0
2024-12-30 18:32:55,20:00,0,0,0,0,0,0
2024-12-30 18:32:55,20:30,0,0,0,0,0,0
2024-12-30 18:32:55,21:00,0,0,0,0,0,0
2024-12-30 18:32:55,21:30,0,0,0,0,0,0
